epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_rgrecl_loss,train_rgrecl_weighted_loss,train_rgrecl_hard_region_fraction,train_rgrecl_sampled_hard_fraction,train_rgrecl_positive_similarity
13,0.00009652,0.558493,0.180361,13.1419,0.244407,40,0,0.43573494,65536.0,0.269920,0.160382,13.4253,0.297897,0.165161,13.3849,0.321689,0.08608922,0.82882662,0.18036054,0.16038242,0.67339399,0.63683645,0.04559393,0.04251891,0.00373657,0.00319136,0.08116224,0.07217209,0.20201820,0.19105094,0.00683909,0.00637784,0.00037366,0.00031914,0.29039319,5.36200578,0.26810029,0.20000694,0.25074870,0.74065498
14,0.00009593,0.566034,0.189603,12.9408,0.240352,40,0,0.52980612,65536.0,0.271991,0.160641,13.4386,0.298740,0.167553,13.2732,0.319028,0.08692681,0.83135175,0.18960288,0.16064131,0.68056388,0.64325561,0.04507948,0.04279621,0.00425382,0.00305942,0.08532130,0.07228859,0.20416917,0.19297669,0.00676192,0.00641943,0.00042538,0.00030594,0.29667777,5.38712516,0.26935626,0.20000694,0.25507813,0.73245588
15,0.00009529,0.550861,0.180818,13.3044,0.241200,40,0,0.48784188,65536.0,0.267837,0.157188,13.5476,0.303071,0.163094,13.4152,0.326727,0.08589957,0.84010239,0.18081813,0.15718826,0.67565219,0.63474885,0.04505093,0.04243234,0.00395808,0.00312283,0.08136816,0.07073471,0.20269567,0.19042466,0.00675764,0.00636485,0.00039581,0.00031228,0.29121727,5.19287982,0.25964399,0.20000694,0.25556641,0.74703624
16,0.00009460,0.546154,0.174236,13.3763,0.262845,40,0,0.56868210,65536.0,0.264066,0.155423,13.5604,0.317253,0.162656,13.4397,0.334434,0.08771606,0.82017288,0.17423614,0.15542318,0.65609073,0.62464635,0.04390943,0.04278971,0.00382541,0.00313082,0.07840626,0.06994043,0.19682723,0.18739391,0.00658641,0.00641846,0.00038254,0.00031308,0.28220244,5.27902358,0.26395118,0.20000694,0.25563151,0.73146681
17,0.00009388,0.532615,0.162299,13.7702,0.277026,40,0,0.52638909,65536.0,0.260375,0.153915,13.5727,0.323615,0.161302,13.4582,0.340538,0.08641736,0.82731047,0.16229940,0.15391522,0.63501179,0.61475083,0.04485367,0.04250466,0.00452762,0.00311907,0.07303473,0.06926185,0.19050355,0.18442526,0.00672805,0.00637570,0.00045276,0.00031191,0.27071909,5.23792005,0.26189601,0.20000694,0.25130208,0.72547993
18,0.00009311,0.544001,0.169440,13.3984,0.270909,40,0,0.57770679,65536.0,0.258633,0.152195,13.7651,0.324519,0.159914,13.6032,0.341661,0.08479590,0.82593092,0.16944023,0.15219526,0.64266647,0.61175245,0.04477529,0.04213090,0.00522749,0.00299989,0.07624810,0.06848787,0.19279995,0.18352574,0.00671629,0.00631964,0.00052275,0.00029999,0.27628709,5.35428756,0.26771438,0.20000694,0.25374349,0.71847225
19,0.00009229,0.538123,0.167660,13.6082,0.267617,40,0,0.52766319,65536.0,0.249269,0.150339,13.7855,0.346755,0.158504,13.6463,0.360349,0.08418203,0.81362840,0.16765991,0.15033885,0.64673714,0.58349279,0.04354587,0.04161794,0.00457721,0.00326159,0.07544696,0.06765248,0.19402115,0.17504784,0.00653188,0.00624269,0.00045772,0.00032616,0.27645771,5.23330370,0.26166519,0.20000694,0.25358073,0.73286081
20,0.00009144,0.538748,0.166450,13.7334,0.262753,40,0,0.60100354,65536.0,0.263236,0.152671,13.6387,0.318384,0.160599,13.4442,0.332557,0.08552118,0.83944129,0.16645033,0.15267147,0.65360727,0.62594991,0.04367594,0.04235854,0.00379497,0.00394995,0.07490265,0.06870216,0.19608219,0.18778498,0.00655139,0.00635378,0.00037950,0.00039499,0.27791573,5.21665090,0.26083255,0.20000694,0.25397135,0.73296413
21,0.00009055,0.533567,0.162822,13.9049,0.275428,40,0,0.51903283,65536.0,0.242071,0.145539,13.8991,0.362223,0.153707,13.8046,0.372358,0.08481489,0.81206424,0.16282190,0.14553875,0.63853719,0.56657629,0.04266904,0.04180267,0.00423182,0.00335104,0.07326985,0.06549243,0.19156117,0.16997290,0.00640036,0.00627040,0.00042318,0.00033510,0.27165455,5.23825533,0.26191277,0.20000694,0.25094401,0.73009425
22,0.00008961,0.526994,0.162428,13.7761,0.285898,40,0,0.60037545,65536.0,0.253178,0.155905,13.4375,0.352639,0.166235,13.2606,0.352010,0.08489086,0.82156092,0.16242830,0.15590517,0.62693129,0.58793703,0.04320300,0.04177412,0.00468265,0.00372974,0.07309273,0.07015732,0.18807939,0.17638112,0.00648045,0.00626612,0.00046826,0.00037297,0.26812084,5.17745324,0.25887267,0.20000694,0.24918620,0.73572177
23,0.00008864,0.529693,0.165600,13.7783,0.262222,40,0,0.48837585,65536.0,0.235465,0.143658,14.0729,0.377411,0.152227,13.9537,0.383391,0.08309978,0.80505508,0.16560025,0.14365809,0.65211536,0.54756162,0.04321516,0.04144977,0.00362083,0.00332489,0.07452011,0.06464614,0.19563462,0.16426849,0.00648227,0.00621747,0.00036208,0.00033249,0.27699908,5.05388463,0.25269424,0.20000694,0.24485677,0.74362680
24,0.00008763,0.505094,0.146727,14.3054,0.318183,40,0,0.62809035,65536.0,0.233618,0.140184,14.2393,0.378104,0.147890,14.1425,0.386749,0.08256866,0.80420635,0.14672745,0.14018429,0.58721488,0.54648799,0.04340232,0.04143758,0.00513563,0.00373357,0.06602735,0.06308293,0.17616447,0.16394641,0.00651035,0.00621564,0.00051356,0.00037336,0.24921573,5.11756117,0.25587806,0.20000694,0.24850260,0.72885552
25,0.00008658,0.514364,0.158620,13.9581,0.291588,40,0,0.55545637,65536.0,0.236005,0.147717,13.7930,0.386908,0.156975,13.6971,0.381233,0.08309945,0.80133459,0.15862034,0.14771697,0.61806709,0.54341531,0.04298379,0.04121516,0.00448917,0.00325932,0.07137915,0.06647263,0.18542013,0.16302460,0.00644757,0.00618227,0.00044892,0.00032593,0.26369577,5.01335937,0.25066797,0.20000694,0.25078125,0.73999539
26,0.00008550,0.502567,0.148060,14.2511,0.323377,40,0,0.67219337,65536.0,0.235331,0.144405,14.0088,0.384856,0.153909,13.8781,0.380683,0.08374015,0.79952898,0.14805989,0.14440464,0.58078833,0.54606497,0.04322288,0.04128884,0.00564302,0.00335868,0.06662695,0.06498208,0.17423651,0.16381950,0.00648343,0.00619333,0.00056430,0.00033587,0.24791119,5.09312218,0.25465611,0.20000694,0.24931641,0.72459499
27,0.00008439,0.501154,0.151930,14.1174,0.327704,40,0,0.58235611,65536.0,0.228569,0.142086,14.1324,0.399563,0.151400,14.0102,0.394164,0.08152227,0.79443917,0.15192976,0.14208567,0.58149629,0.52725020,0.04250730,0.04070121,0.00543044,0.00350220,0.06836839,0.06393855,0.17444889,0.15817507,0.00637610,0.00610518,0.00054304,0.00035022,0.24973642,5.02836148,0.25141808,0.20000694,0.24951172,0.73011941
28,0.00008323,0.496362,0.148767,14.2114,0.329262,40,0,0.60725865,65536.0,0.227880,0.141349,14.1387,0.400545,0.150564,14.0151,0.395405,0.08194458,0.79551259,0.14876691,0.14134896,0.57823305,0.52588221,0.04140402,0.04091020,0.00510582,0.00371598,0.06694511,0.06360703,0.17346992,0.15776467,0.00621060,0.00613653,0.00051058,0.00037160,0.24713622,4.98452237,0.24922612,0.20000694,0.25149740,0.73270857
29,0.00008205,0.499095,0.148572,14.4011,0.308322,40,0,0.54148383,65536.0,0.220762,0.136671,14.3767,0.412141,0.145443,14.2626,0.411775,0.07931274,0.79405813,0.14857157,0.13667132,0.60022046,0.50932640,0.04275634,0.04027554,0.00539634,0.00421137,0.06685720,0.06150209,0.18006615,0.15279793,0.00641345,0.00604133,0.00053963,0.00042114,0.25387644,4.90437260,0.24521864,0.20000694,0.25159505,0.73991108
30,0.00008084,0.494671,0.149392,14.4907,0.328940,40,0,0.66233098,65536.0,0.222176,0.138852,14.2133,0.413108,0.148258,14.0869,0.403961,0.08039542,0.79282612,0.14939216,0.13885187,0.57737601,0.51076769,0.04130406,0.04053639,0.00397753,0.00382249,0.06722647,0.06248334,0.17321281,0.15323031,0.00619561,0.00608046,0.00039775,0.00038225,0.24703264,4.95276676,0.24763834,0.20000694,0.24765625,0.72860742
31,0.00007960,0.491886,0.145142,14.2945,0.332076,40,0,0.63824525,65536.0,0.221836,0.136716,14.3734,0.410082,0.145798,14.2476,0.404258,0.08032025,0.78685610,0.14514157,0.13671594,0.57339880,0.51278096,0.04180569,0.04033830,0.00525420,0.00428342,0.06531370,0.06152217,0.17201965,0.15383429,0.00627085,0.00605075,0.00052542,0.00042834,0.24412962,4.95512146,0.24775608,0.20000694,0.25068359,0.72665020
32,0.00007832,0.524277,0.162147,14.0042,0.270333,40,0,0.75310263,65536.0,0.220121,0.135972,14.3801,0.414643,0.145051,14.2663,0.404505,0.08102201,0.79225124,0.16214675,0.13597244,0.64594511,0.50810143,0.04225499,0.04069269,0.00422262,0.00398771,0.07296604,0.06118760,0.19378354,0.15243043,0.00633825,0.00610390,0.00042226,0.00039877,0.27351009,5.01532941,0.25076647,0.20000694,0.25061849,0.72680667
33,0.00007702,0.501363,0.149320,14.2612,0.296583,40,0,0.53825817,65536.0,0.220350,0.136505,14.1937,0.414822,0.145379,14.1321,0.405504,0.07976569,0.78566583,0.14932031,0.13650518,0.61054274,0.50762451,0.04307538,0.04024536,0.00428276,0.00598670,0.06719414,0.06142733,0.18316283,0.15228736,0.00646131,0.00603680,0.00042828,0.00059867,0.25724655,4.88232031,0.24411602,0.20000694,0.24840495,0.73549804
34,0.00007570,0.485203,0.139191,14.6732,0.330697,40,0,0.61308949,65536.0,0.218632,0.134450,14.4494,0.417008,0.143603,14.3239,0.405522,0.08118240,0.78841645,0.13919132,0.13445023,0.57356116,0.50545339,0.04213402,0.04059469,0.00464912,0.00403765,0.06263609,0.06050260,0.17206836,0.15163602,0.00632010,0.00608920,0.00046491,0.00040376,0.24148946,4.87426755,0.24371338,0.20000694,0.25156250,0.73214502
35,0.00007435,0.489017,0.146283,14.4300,0.332509,40,0,0.55679848,65536.0,0.217679,0.137083,14.2191,0.424215,0.146445,14.1235,0.410989,0.07889375,0.78776459,0.14628301,0.13708312,0.57519724,0.49825619,0.04211124,0.03998413,0.00471871,0.00517020,0.06582735,0.06168740,0.17255918,0.14947686,0.00631669,0.00599762,0.00047187,0.00051702,0.24517509,4.87684188,0.24384210,0.20000694,0.24824219,0.73293819
36,0.00007297,0.492410,0.145443,14.3957,0.320919,40,0,0.59145165,65536.0,0.213254,0.133587,14.4919,0.432134,0.143233,14.3384,0.420108,0.07884529,0.78853279,0.14544269,0.13358690,0.58685987,0.48894209,0.04201312,0.03996461,0.00455048,0.00462755,0.06544921,0.06011410,0.17605797,0.14668263,0.00630197,0.00599469,0.00045505,0.00046275,0.24826420,4.88290828,0.24414542,0.20000694,0.24977214,0.72907425
