epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_rgrecl_loss,train_rgrecl_weighted_loss,train_rgrecl_hard_region_fraction,train_rgrecl_sampled_hard_fraction,train_rgrecl_positive_similarity
47,0.00005670,0.468316,0.131861,15.0096,0.346547,40,0,0.56809085,65536.0,0.202883,0.125231,14.9690,0.450927,0.135133,14.7671,0.429841,0.07699936,0.77759893,0.13186063,0.12523101,0.55910982,0.46693907,0.04142002,0.03938415,0.00480323,0.00539981,0.05933728,0.05635395,0.16773295,0.14008172,0.00621300,0.00590762,0.00048032,0.00053998,0.23376356,4.69104855,0.23455243,0.20000694,0.24755859,0.73432028
48,0.00005516,0.470825,0.132089,14.9460,0.351916,40,0,0.57681250,65536.0,0.204242,0.126326,14.9595,0.447863,0.135913,14.7606,0.427170,0.07758047,0.77725559,0.13208929,0.12632557,0.55233776,0.46992569,0.04079672,0.03956251,0.00471093,0.00483777,0.05944018,0.05684651,0.16570133,0.14097771,0.00611951,0.00593438,0.00047109,0.00048378,0.23173211,4.78186198,0.23909310,0.20000694,0.24742839,0.71985350
49,0.00005361,0.446632,0.123948,15.5523,0.396459,40,0,0.62795794,65536.0,0.204152,0.128758,14.7624,0.451476,0.138336,14.6026,0.428534,0.07714737,0.78005365,0.12394818,0.12875838,0.50311365,0.46609533,0.04035068,0.03962379,0.00479829,0.00438398,0.05577668,0.05794127,0.15093410,0.13982860,0.00605260,0.00594357,0.00047983,0.00043840,0.21324322,4.66776847,0.23338843,0.20000694,0.24596354,0.72825836
50,0.00005205,0.459064,0.125470,15.2883,0.356723,40,0,0.56384858,131072.0,0.200676,0.123938,14.9969,0.457100,0.133835,14.7527,0.441433,0.07594198,0.78607696,0.12546990,0.12393809,0.54757217,0.46146140,0.04048653,0.03919450,0.00404070,0.00586171,0.05646145,0.05577214,0.16427166,0.13843842,0.00607298,0.00587918,0.00040407,0.00058617,0.22721016,4.63708265,0.23185414,0.20000694,0.24833984,0.73572569
51,0.00005050,0.457967,0.125989,15.2913,0.370453,40,0,0.58647927,131072.0,0.200578,0.125025,15.0043,0.457486,0.135118,14.7681,0.435473,0.07637854,0.78934082,0.12598910,0.12502461,0.53354974,0.45976270,0.04066033,0.03922314,0.00439469,0.00505077,0.05669509,0.05626107,0.16006493,0.13792882,0.00609905,0.00588347,0.00043947,0.00050508,0.22329854,4.69335984,0.23466799,0.20000694,0.24290365,0.72579684
52,0.00004895,0.452243,0.128241,15.1985,0.381788,40,0,0.62544964,131072.0,0.200967,0.124844,15.0314,0.456631,0.135283,14.7509,0.435683,0.07723717,0.78321476,0.12824073,0.12484434,0.52055382,0.46118408,0.04032792,0.03931945,0.00419863,0.00534399,0.05770833,0.05617995,0.15616615,0.13835523,0.00604919,0.00589792,0.00041986,0.00053440,0.22034353,4.63798870,0.23189944,0.20000694,0.24407552,0.72948433
53,0.00004739,0.445783,0.127955,15.2163,0.398838,40,0,0.57340236,131072.0,0.199256,0.123131,15.0927,0.458555,0.134408,14.7401,0.437686,0.07634505,0.79627382,0.12795547,0.12313061,0.49924346,0.45808481,0.04055694,0.03907589,0.00432108,0.00560192,0.05757996,0.05540877,0.14977304,0.13742545,0.00608354,0.00586138,0.00043211,0.00056019,0.21386865,4.63828149,0.23191408,0.20000694,0.24573568,0.72536616
54,0.00004584,0.471773,0.129381,15.1569,0.340714,40,0,0.64108750,131072.0,0.201279,0.124457,15.0696,0.454088,0.136174,14.6801,0.429926,0.07703792,0.79668710,0.12938051,0.12445679,0.56867124,0.46284100,0.03993653,0.03919907,0.00403799,0.00541449,0.05822123,0.05600555,0.17060138,0.13885230,0.00599048,0.00587986,0.00040380,0.00054145,0.23521688,4.73112123,0.23655606,0.20000694,0.24684245,0.72558055
55,0.00004430,0.444500,0.125434,15.2985,0.398910,40,0,0.63054764,131072.0,0.197333,0.122435,15.1595,0.461983,0.133455,14.8287,0.440603,0.07588383,0.78822881,0.12543386,0.12243486,0.50446367,0.45269570,0.03985283,0.03917952,0.00461880,0.00551271,0.05644524,0.05509568,0.15133911,0.13580872,0.00597793,0.00587693,0.00046188,0.00055127,0.21422415,4.60552632,0.23027632,0.20000694,0.24277344,0.73081216
56,0.00004276,0.459842,0.130960,15.1723,0.371057,40,0,0.65128582,131072.0,0.200084,0.125908,14.9188,0.460124,0.136994,14.6241,0.435037,0.07667266,0.79001431,0.13096025,0.12590813,0.53357360,0.45667695,0.04000151,0.03928297,0.00380456,0.00529514,0.05893211,0.05665866,0.16007209,0.13700309,0.00600023,0.00589245,0.00038046,0.00052951,0.22538488,4.68914465,0.23445724,0.20000694,0.24599609,0.71755183
57,0.00004122,0.452368,0.122341,15.3927,0.365213,40,0,0.58459059,131072.0,0.200135,0.125073,14.8756,0.459117,0.134843,14.7070,0.435268,0.07640058,0.78026824,0.12234109,0.12507253,0.53819413,0.45789397,0.04026372,0.03925807,0.00431226,0.00595669,0.05505349,0.05628264,0.16145824,0.13736819,0.00603956,0.00588871,0.00043123,0.00059567,0.22298252,4.58771237,0.22938562,0.20000694,0.24707031,0.73418308
58,0.00003970,0.456995,0.124182,15.4237,0.359474,40,0,0.66244704,131072.0,0.197808,0.122910,15.0660,0.462143,0.133256,14.8109,0.438450,0.07654428,0.78061488,0.12418206,0.12290976,0.54252736,0.45336726,0.04099603,0.03933287,0.00349519,0.00588143,0.05588193,0.05530939,0.16275822,0.13601019,0.00614940,0.00589993,0.00034952,0.00058814,0.22513907,4.63712130,0.23185607,0.20000694,0.25045573,0.72647602
59,0.00003819,0.458217,0.128084,15.2321,0.365861,40,0,0.64236876,131072.0,0.197629,0.124255,14.9715,0.464917,0.134205,14.7843,0.440640,0.07570534,0.77704256,0.12808435,0.12425481,0.53990742,0.45079978,0.04034539,0.03918487,0.00501215,0.00596649,0.05763796,0.05591466,0.16197223,0.13523994,0.00605181,0.00587773,0.00050122,0.00059665,0.22616322,4.64107255,0.23205363,0.20000694,0.24235026,0.72274942
60,0.00003669,0.455177,0.128045,15.4613,0.363862,40,0,0.71344350,131072.0,0.197256,0.123035,15.0612,0.464256,0.133112,14.8438,0.439276,0.07594690,0.77702108,0.12804531,0.12303461,0.53975276,0.45160290,0.03965151,0.03922279,0.00328650,0.00525990,0.05762039,0.05536557,0.16192584,0.13548087,0.00594773,0.00588342,0.00032865,0.00052599,0.22582260,4.58708755,0.22935438,0.20000694,0.24111328,0.72563212
61,0.00003520,0.447755,0.122602,15.3002,0.380111,40,0,0.58017520,131072.0,0.195981,0.120903,15.2259,0.464523,0.132325,14.8567,0.438402,0.07643390,0.78666557,0.12260160,0.12090325,0.52435323,0.45067319,0.04002048,0.03906553,0.00394862,0.00512291,0.05517072,0.05440646,0.15730598,0.13520196,0.00600307,0.00585983,0.00039486,0.00051229,0.21887463,4.57760221,0.22888011,0.20000694,0.24687500,0.72971887
62,0.00003373,0.446608,0.118706,15.6249,0.376318,40,0,0.65283380,131072.0,0.197713,0.122225,15.1531,0.461806,0.133635,14.8005,0.434708,0.07668674,0.78970814,0.11870642,0.12222491,0.52660130,0.45442684,0.04008965,0.03906907,0.00365786,0.00523743,0.05341789,0.05500121,0.15798040,0.13632806,0.00601345,0.00586036,0.00036579,0.00052374,0.21777752,4.57660800,0.22883040,0.20000694,0.24290365,0.72504802
63,0.00003228,0.428269,0.119333,15.5129,0.428498,40,0,0.64980167,131072.0,0.193964,0.120511,15.2604,0.469933,0.131913,14.9201,0.443362,0.07570597,0.77719168,0.11933267,0.12051140,0.46804731,0.44468711,0.04031020,0.03883120,0.00532992,0.00503131,0.05369970,0.05423013,0.14041420,0.13340614,0.00604653,0.00582468,0.00053299,0.00050313,0.20069342,4.55150859,0.22757543,0.20000694,0.24964193,0.72139010
64,0.00003084,0.461954,0.130127,15.3027,0.353016,40,0,0.59369054,131072.0,0.196102,0.120999,15.2244,0.464057,0.131981,14.8830,0.441816,0.07609473,0.78485516,0.13012725,0.12099870,0.55561555,0.45046976,0.03987273,0.03935127,0.00289431,0.00608903,0.05855726,0.05444941,0.16668467,0.13514093,0.00598091,0.00590269,0.00028943,0.00060890,0.23151227,4.60883756,0.23044188,0.20000694,0.24134115,0.72856867
65,0.00002942,0.457203,0.127737,15.2291,0.367390,40,0,0.65258343,131072.0,0.195876,0.121627,15.1206,0.464615,0.132638,14.8111,0.438914,0.07692418,0.78016791,0.12773656,0.12162724,0.53752374,0.44888040,0.04034769,0.03935164,0.00428045,0.00576962,0.05748145,0.05473226,0.16125713,0.13466412,0.00605215,0.00590275,0.00042804,0.00057696,0.22521878,4.63968152,0.23198408,0.20000694,0.24869792,0.71813606
66,0.00002803,0.437907,0.118132,15.8475,0.389451,40,0,0.58850375,131072.0,0.194757,0.120421,15.2917,0.467110,0.131406,14.9656,0.441224,0.07598452,0.78130153,0.11813200,0.12042143,0.51519024,0.44735922,0.03886146,0.03902830,0.00370719,0.00504951,0.05315940,0.05418964,0.15455708,0.13420777,0.00582922,0.00585425,0.00037072,0.00050495,0.21391642,4.47980289,0.22399015,0.20000694,0.24052734,0.73337061
67,0.00002665,0.429625,0.119243,15.6828,0.422105,40,0,0.64576974,131072.0,0.192458,0.119078,15.3358,0.471786,0.130126,14.9924,0.446576,0.07568235,0.78566737,0.11924261,0.11907754,0.47926570,0.44169746,0.03982242,0.03898221,0.00458694,0.00516443,0.05365917,0.05358489,0.14377972,0.13250925,0.00597336,0.00584733,0.00045869,0.00051644,0.20387094,4.51507442,0.22575373,0.20000694,0.24726562,0.72483940
68,0.00002530,0.443912,0.125607,15.4139,0.384238,40,0,0.57735124,131072.0,0.194030,0.120699,15.1898,0.469905,0.131811,14.8650,0.443881,0.07555937,0.78979364,0.12560659,0.12069920,0.52069893,0.44441497,0.03966102,0.03888715,0.00366814,0.00558120,0.05652296,0.05431464,0.15620969,0.13332450,0.00594915,0.00583307,0.00036681,0.00055812,0.21904862,4.49726151,0.22486308,0.20000694,0.24537760,0.72923126
69,0.00002398,0.452207,0.128829,15.2178,0.375901,40,0,0.57343457,131072.0,0.191936,0.119275,15.3313,0.474227,0.130573,14.9665,0.448458,0.07518083,0.78656789,0.12882949,0.11927536,0.53156530,0.43972658,0.04020266,0.03881016,0.00393024,0.00522972,0.05797327,0.05367391,0.15946960,0.13191798,0.00603040,0.00582152,0.00039302,0.00052297,0.22386629,4.56681759,0.22834088,0.20000694,0.24410807,0.72296703
70,0.00002268,0.443271,0.121069,15.6817,0.379482,40,0,0.60580427,131072.0,0.191476,0.118721,15.3823,0.474500,0.129662,15.0475,0.449844,0.07523290,0.77588040,0.12106941,0.11872135,0.52426671,0.43900979,0.04029680,0.03889251,0.00382287,0.00514158,0.05448123,0.05342461,0.15728002,0.13170294,0.00604452,0.00583388,0.00038229,0.00051416,0.21818806,4.50166493,0.22508325,0.20000694,0.23824870,0.72743471
71,0.00002140,0.430871,0.122010,15.6232,0.413163,40,0,0.64340596,131072.0,0.192498,0.119481,15.3876,0.472161,0.130887,15.0140,0.445340,0.07568269,0.78018226,0.12200957,0.11948149,0.48489137,0.44135099,0.04007052,0.03886575,0.00446523,0.00495927,0.05490430,0.05376667,0.14546742,0.13240530,0.00601058,0.00582986,0.00044652,0.00049593,0.20682882,4.48083606,0.22404181,0.20000694,0.24173177,0.72285859
72,0.00002016,0.441338,0.120729,15.6741,0.386241,40,0,0.64702096,131072.0,0.193132,0.120101,15.2278,0.471408,0.131015,14.9187,0.445985,0.07559311,0.77898405,0.12072877,0.12010126,0.51068662,0.44201034,0.04024969,0.03910018,0.00367097,0.00618222,0.05432795,0.05404557,0.15320599,0.13260311,0.00603745,0.00586503,0.00036710,0.00061822,0.21393849,4.54799395,0.22739970,0.20000694,0.24179687,0.71912768
73,0.00001895,0.453466,0.123185,15.4433,0.365383,40,0,0.58331669,131072.0,0.190099,0.117708,15.4416,0.477036,0.129032,15.0680,0.451218,0.07522384,0.78282445,0.12318506,0.11770772,0.54134062,0.43591632,0.04031388,0.03884569,0.00425268,0.00528511,0.05543327,0.05296847,0.16240219,0.13077490,0.00604708,0.00582685,0.00042527,0.00052851,0.22430782,4.58315388,0.22915770,0.20000694,0.24576823,0.72525481
74,0.00001777,0.433212,0.121247,15.5808,0.406013,40,0,0.68744230,131072.0,0.192506,0.119435,15.3287,0.472228,0.130974,14.9579,0.444599,0.07574257,0.78709698,0.12124734,0.11943483,0.49560467,0.44140701,0.03955263,0.03887052,0.00495684,0.00507686,0.05456130,0.05374567,0.14868141,0.13242211,0.00593289,0.00583058,0.00049568,0.00050769,0.20967129,4.47082334,0.22354117,0.20000694,0.24251302,0.72896489
75,0.00001661,0.434212,0.117376,15.8948,0.401630,40,0,0.66063739,131072.0,0.191557,0.118614,15.4122,0.473678,0.130023,15.0418,0.446792,0.07589190,0.78130782,0.11737597,0.11861411,0.50077331,0.43950816,0.03955666,0.03893705,0.00375439,0.00487465,0.05281919,0.05337635,0.15023200,0.13185246,0.00593350,0.00584056,0.00037544,0.00048746,0.20936013,4.49703605,0.22485181,0.20000694,0.24472656,0.72609506
76,0.00001550,0.447030,0.120774,15.5665,0.381064,40,0,0.64316603,131072.0,0.189406,0.116699,15.4774,0.477351,0.128045,15.1006,0.451191,0.07523147,0.77972470,0.12077409,0.11669906,0.52455233,0.43513972,0.03939686,0.03883485,0.00375370,0.00524757,0.05434834,0.05251457,0.15736571,0.13054192,0.00590953,0.00582523,0.00037537,0.00052476,0.21799894,4.58062434,0.22903122,0.20000694,0.24729818,0.71851733
77,0.00001442,0.441088,0.122729,15.6410,0.387883,40,0,0.66672199,131072.0,0.189672,0.116968,15.4680,0.476243,0.128271,15.0927,0.449918,0.07550709,0.78314720,0.12272930,0.11696760,0.51317728,0.43564092,0.04040335,0.03888890,0.00324235,0.00510830,0.05522818,0.05263542,0.15395319,0.13069228,0.00606050,0.00583334,0.00032424,0.00051083,0.21556611,4.51043732,0.22552187,0.20000694,0.24404297,0.72291415
78,0.00001337,0.451291,0.118680,15.7028,0.359250,40,0,0.58202077,131072.0,0.189084,0.116541,15.4587,0.478227,0.127780,15.0929,0.452587,0.07525675,0.77870114,0.11867981,0.11654064,0.54667262,0.43423513,0.04037480,0.03884859,0.00305307,0.00543368,0.05340591,0.05244329,0.16400179,0.13027054,0.00605622,0.00582729,0.00030531,0.00054337,0.22376923,4.55043025,0.22752152,0.20000694,0.24179688,0.72186584
79,0.00001236,0.434746,0.119460,15.7336,0.407497,40,0,0.70716719,131072.0,0.190125,0.116969,15.4753,0.475262,0.128372,15.0862,0.448778,0.07577685,0.78416191,0.11945985,0.11696879,0.49134917,0.43718912,0.03945626,0.03890373,0.00378346,0.00496603,0.05375693,0.05263595,0.14740476,0.13115674,0.00591844,0.00583556,0.00037835,0.00049660,0.20745848,4.54575689,0.22728785,0.20000694,0.24840495,0.71832438
80,0.00001139,0.433956,0.120677,15.5316,0.403799,40,0,0.63982363,131072.0,0.189247,0.116990,15.4238,0.478145,0.128217,15.0654,0.452206,0.07521477,0.77535267,0.12067713,0.11698964,0.49673487,0.43412394,0.04041977,0.03880405,0.00394762,0.00543486,0.05430471,0.05264534,0.14902047,0.13023719,0.00606297,0.00582061,0.00039476,0.00054349,0.20978290,4.48346105,0.22417306,0.20000694,0.24733073,0.72300411
81,0.00001045,0.427854,0.117177,15.7986,0.410085,40,0,0.63231550,131072.0,0.189884,0.117457,15.4227,0.477024,0.128687,15.0593,0.451435,0.07533644,0.77788083,0.11717671,0.11745746,0.49225621,0.43559229,0.03918835,0.03884499,0.00313187,0.00524053,0.05272952,0.05285586,0.14767687,0.13067769,0.00587825,0.00582675,0.00031319,0.00052405,0.20659783,4.42512027,0.22125602,0.20000694,0.24654948,0.73067333
82,0.00000956,0.437379,0.123302,15.4991,0.396663,40,0,0.62548308,131072.0,0.189414,0.116803,15.5013,0.477426,0.128432,15.0902,0.450815,0.07529623,0.78690594,0.12330228,0.11680285,0.50461753,0.43520109,0.04083505,0.03874613,0.00407529,0.00480753,0.05548602,0.05256128,0.15138526,0.13056033,0.00612526,0.00581192,0.00040753,0.00048075,0.21340407,4.47950598,0.22397530,0.20000694,0.24485677,0.72333660
83,0.00000871,0.417482,0.109112,16.3121,0.422467,40,0,0.64929359,131072.0,0.189597,0.117018,15.4002,0.477963,0.128313,15.0294,0.452469,0.07505129,0.78249554,0.10911229,0.11701762,0.47866632,0.43525620,0.03820484,0.03877487,0.00320131,0.00545948,0.04910053,0.05265793,0.14359990,0.13057686,0.00573073,0.00581623,0.00032013,0.00054595,0.19875129,4.37461317,0.21873066,0.20000694,0.24394531,0.73554206
84,0.00000789,0.416433,0.113156,15.9495,0.439822,40,0,0.69674968,131072.0,0.189375,0.117134,15.4527,0.478326,0.128505,15.0671,0.452660,0.07490559,0.78243875,0.11315608,0.11713394,0.45699097,0.43454059,0.03977064,0.03867940,0.00416791,0.00500499,0.05092024,0.05271027,0.13709730,0.13036218,0.00596560,0.00580191,0.00041679,0.00050050,0.19439992,4.44066503,0.22203326,0.20000694,0.24189453,0.72613391
85,0.00000712,0.436478,0.117901,15.6671,0.390655,40,0,0.63162659,131072.0,0.188652,0.116740,15.4375,0.479853,0.128133,15.0530,0.454556,0.07479184,0.78211115,0.11790088,0.11673997,0.51302689,0.43253211,0.03961735,0.03872137,0.00318006,0.00550918,0.05305540,0.05253299,0.15390807,0.12975964,0.00594260,0.00580821,0.00031801,0.00055092,0.21322408,4.46508051,0.22325403,0.20000694,0.24085286,0.72735041
86,0.00000640,0.430329,0.115997,15.8448,0.398770,40,0,0.62541347,131072.0,0.188346,0.116250,15.4713,0.480363,0.127839,15.0662,0.454643,0.07483823,0.78451300,0.11599680,0.11625012,0.50359551,0.43234657,0.03896791,0.03867872,0.00338497,0.00527350,0.05219856,0.05231255,0.15107866,0.12970398,0.00584519,0.00580181,0.00033850,0.00052735,0.20946090,4.41735240,0.22086762,0.20000694,0.23665365,0.72810723
87,0.00000571,0.440039,0.121796,15.5814,0.385800,40,0,0.65076706,131072.0,0.188528,0.116744,15.4479,0.480689,0.128223,15.0620,0.454621,0.07486788,0.78063673,0.12179615,0.11674443,0.51671707,0.43215026,0.04042861,0.03870044,0.00363513,0.00542567,0.05480827,0.05253499,0.15501513,0.12964508,0.00606429,0.00580507,0.00036351,0.00054257,0.21625120,4.47575178,0.22378759,0.20000694,0.24615885,0.72249929
88,0.00000507,0.417377,0.113197,16.0374,0.423417,40,0,0.61790604,131072.0,0.187942,0.116300,15.4925,0.481702,0.127783,15.1018,0.455644,0.07478416,0.78111220,0.11319746,0.11630042,0.47946481,0.43095006,0.03916243,0.03868897,0.00365116,0.00518832,0.05093885,0.05233519,0.14383945,0.12928502,0.00587436,0.00580335,0.00036512,0.00051883,0.20101779,4.32718270,0.21635914,0.20000694,0.23857422,0.73850400
89,0.00000448,0.428470,0.114870,15.9212,0.401389,40,0,0.64081887,131072.0,0.187889,0.116140,15.5001,0.481147,0.127609,15.1080,0.455221,0.07493008,0.77971347,0.11486987,0.11613989,0.50078390,0.43096109,0.03968173,0.03875991,0.00360967,0.00523657,0.05169144,0.05226295,0.15023518,0.12928833,0.00595226,0.00581399,0.00036097,0.00052366,0.20823984,4.40460370,0.22023019,0.20000694,0.24257813,0.73140738
90,0.00000393,0.414772,0.116392,15.9208,0.445885,40,0,0.69789808,131072.0,0.187800,0.115748,15.5390,0.480985,0.127235,15.1376,0.455055,0.07495690,0.78289313,0.11639165,0.11574791,0.45291892,0.43133295,0.03936046,0.03875332,0.00387300,0.00500359,0.05237624,0.05208656,0.13587568,0.12939989,0.00590407,0.00581300,0.00038730,0.00050036,0.19454329,4.40457416,0.22022871,0.20000694,0.24287109,0.72632563
91,0.00000342,0.442494,0.117011,15.8455,0.367868,40,0,0.61565758,131072.0,0.187922,0.115891,15.5385,0.480812,0.127426,15.1326,0.454677,0.07495073,0.78425112,0.11701117,0.11589139,0.53642643,0.43155489,0.03922129,0.03872239,0.00319052,0.00495643,0.05265502,0.05215112,0.16092793,0.12946647,0.00588319,0.00580836,0.00031905,0.00049564,0.21978520,4.45417817,0.22270891,0.20000694,0.24127604,0.72978023
92,0.00000297,0.434784,0.124856,15.4013,0.410321,40,0,0.64943692,131072.0,0.187992,0.116067,15.5151,0.480967,0.127605,15.1157,0.454590,0.07496208,0.78262904,0.12485594,0.11606746,0.49181432,0.43149079,0.04034027,0.03869281,0.00400826,0.00510260,0.05618517,0.05223035,0.14754430,0.12944724,0.00605104,0.00580392,0.00040083,0.00051026,0.21018134,4.49205728,0.22460287,0.20000694,0.24361979,0.72332467
93,0.00000256,0.435452,0.122186,15.5369,0.408517,40,0,0.63017198,131072.0,0.187584,0.115748,15.5337,0.481639,0.127274,15.1320,0.455430,0.07488427,0.78179393,0.12218615,0.11574761,0.49528472,0.43062034,0.04021800,0.03867914,0.00415666,0.00509301,0.05498377,0.05208642,0.14858542,0.12918611,0.00603270,0.00580187,0.00041567,0.00050930,0.21001755,4.50869759,0.22543488,0.20000694,0.23971354,0.71786255
94,0.00000219,0.437035,0.119824,15.5819,0.391391,40,0,0.59567244,131072.0,0.187237,0.115389,15.5619,0.482103,0.126996,15.1487,0.455777,0.07489141,0.78324278,0.11982355,0.11538906,0.51076739,0.43005029,0.04057631,0.03866583,0.00388196,0.00496898,0.05392060,0.05192507,0.15323022,0.12901509,0.00608645,0.00579988,0.00038820,0.00049690,0.21362546,4.46819692,0.22340985,0.20000694,0.24931641,0.72282338
95,0.00000188,0.427266,0.116413,15.6649,0.411923,40,0,0.70518159,131072.0,0.187289,0.115469,15.5534,0.482069,0.127087,15.1423,0.455633,0.07494060,0.78189802,0.11641339,0.11546907,0.48849894,0.43008950,0.03959936,0.03867975,0.00403238,0.00499559,0.05238603,0.05196108,0.14654969,0.12902685,0.00593990,0.00580196,0.00040324,0.00049956,0.20527886,4.43974435,0.22198722,0.20000694,0.24313151,0.72715764
96,0.00000161,0.419929,0.117964,15.8874,0.431024,40,0,0.65494573,131072.0,0.187408,0.115695,15.5432,0.482082,0.127300,15.1354,0.455659,0.07491446,0.78145141,0.11796369,0.11569531,0.46825302,0.43012423,0.03945758,0.03867824,0.00336803,0.00505739,0.05308366,0.05206289,0.14047591,0.12903728,0.00591864,0.00580174,0.00033680,0.00050574,0.19981501,4.40227875,0.22011394,0.20000694,0.24339193,0.72846099
97,0.00000139,0.428080,0.114877,15.9669,0.403031,40,0,0.64714699,131072.0,0.187253,0.115524,15.5553,0.482324,0.127075,15.1480,0.456070,0.07487455,0.78119530,0.11487713,0.11552382,0.49664708,0.42988359,0.03941540,0.03866447,0.00378303,0.00502223,0.05169471,0.05198572,0.14899413,0.12896508,0.00591231,0.00579967,0.00037830,0.00050222,0.20697945,4.42202051,0.22110103,0.20000694,0.24121094,0.72809201
98,0.00000122,0.430136,0.114198,15.8447,0.404570,40,0,0.67899626,131072.0,0.187306,0.115521,15.5560,0.482165,0.127078,15.1476,0.455850,0.07488971,0.78131548,0.11419761,0.11552099,0.49423091,0.43008011,0.04024413,0.03865498,0.00374404,0.00499691,0.05138892,0.05198444,0.14826928,0.12902404,0.00603662,0.00579825,0.00037440,0.00049969,0.20606923,4.48132762,0.22406638,0.20000694,0.24488932,0.72449881
99,0.00000110,0.428547,0.116834,15.8443,0.407751,40,0,0.61261008,131072.0,0.187250,0.115415,15.5626,0.482126,0.126980,15.1532,0.455771,0.07490715,0.78074916,0.11683376,0.11541483,0.49331537,0.43006100,0.03974981,0.03864943,0.00430492,0.00497950,0.05257519,0.05193667,0.14799462,0.12901830,0.00596247,0.00579742,0.00043049,0.00049795,0.20696277,4.43168270,0.22158414,0.20000694,0.24199219,0.72824355
100,0.00000102,0.416078,0.116642,15.9055,0.439126,40,0,0.69924698,262144.0,0.187319,0.115488,15.5557,0.482062,0.127056,15.1469,0.455735,0.07491139,0.78043608,0.11664243,0.11548756,0.45148910,0.43016060,0.04025870,0.03865185,0.00381322,0.00503274,0.05248909,0.05196940,0.13544674,0.12904818,0.00603881,0.00579778,0.00038132,0.00050327,0.19435595,4.43443500,0.22172175,0.20000694,0.23929036,0.71858311
