case_id,moment_forward_count,mc_forward_count,moment_calibration_scale,moment_mae,moment_psnr,moment_ssim,mc_mean_mae,mc_mean_psnr,mc_mean_ssim,unc_variance_rmsd_brain,unc_variance_mae_brain,unc_pearson_moment_vs_mc,unc_spearman_moment_vs_mc,moment_error_pearson,moment_error_spearman,mc_error_pearson,mc_error_spearman,moment_top10_error_overlap,mc_top10_error_overlap,moment_raw_variance_error_mae,moment_calibrated_variance_error_mae,moment_inference_seconds,mc_inference_seconds,moment_peak_memory_mb,mc_peak_memory_mb
1BA005,1,200,30.128987220735386,0.09318574517965317,17.176923751831055,0.5560888648033142,0.09367628395557404,17.154850006103516,0.5513594150543213,0.0004682098515331745,0.0003233002789784223,0.8388754725456238,0.880709171295166,0.1887364238500595,0.2447415441274643,0.1818809062242508,0.23536044359207153,0.13839972019195557,0.11778081953525543,0.02069268189370632,0.02681794948875904,0.1959798550233245,9.794957527890801,6624.81103515625,1789.21240234375
1BB030,1,200,30.128987220735386,0.11391045898199081,15.5692777633667,0.5151943564414978,0.11281390488147736,15.649662971496582,0.5227334499359131,0.00048546664766035974,0.00030846038134768605,0.8558601140975952,0.9129582643508911,0.20035907626152039,0.2514224350452423,0.2141650766134262,0.2715015113353729,0.1181502565741539,0.11792488396167755,0.029907338321208954,0.03200727328658104,0.1962002948857844,9.803775885142386,6625.56787109375,1789.83251953125
1BC052,1,200,30.128987220735386,0.11963342130184174,15.36797046661377,0.47892478108406067,0.11975204199552536,15.368433952331543,0.48580384254455566,0.0005189056973904371,0.00031730462796986103,0.8703722357749939,0.9264308214187622,0.3324935734272003,0.44890809059143066,0.298183798789978,0.4337739050388336,0.09593548625707626,0.06696996092796326,0.030043205246329308,0.029940461739897728,0.19631411274895072,9.817020467948169,6626.4462890625,1790.15869140625
MEAN,1,200,30.128987220735386,0.10890987515449524,16.038057327270508,0.5167360007762909,0.10874741027752559,16.05764897664388,0.5199655691782633,0.0004908607321946571,0.0003163550960986565,0.8550359408060709,0.9066994190216064,0.2405296911795934,0.3150240232547124,0.23140992720921835,0.313545286655426,0.1174951543410619,0.10089188814163208,0.026881075153748196,0.02958856150507927,0.1961647542193532,9.805251293660453,6625.6083984375,1789.7345377604167
