case_id,moment_forward_count,mc_forward_count,moment_calibration_scale,moment_mae,moment_psnr,moment_ssim,mc_mean_mae,mc_mean_psnr,mc_mean_ssim,unc_variance_rmsd_brain,unc_variance_mae_brain,unc_pearson_moment_vs_mc,unc_spearman_moment_vs_mc,moment_error_pearson,moment_error_spearman,mc_error_pearson,mc_error_spearman,moment_top10_error_overlap,mc_top10_error_overlap,moment_raw_variance_error_mae,moment_calibrated_variance_error_mae,moment_inference_seconds,mc_inference_seconds,moment_peak_memory_mb,mc_peak_memory_mb
1BA005,1,200,39.32465062492413,0.09160501509904861,17.137454986572266,0.5504636764526367,0.09150878340005875,17.14690589904785,0.5470637083053589,0.00042429633322171867,0.0002917354286182672,0.840158998966217,0.8596891760826111,0.021891668438911438,0.12004859745502472,0.08338740468025208,0.14465638995170593,0.038570694625377655,0.06859292089939117,0.020736901089549065,0.02722158282995224,0.2047822861932218,10.398812375962734,6625.7275390625,1788.40625
1BB030,1,200,39.32465062492413,0.10674450546503067,15.696416854858398,0.47684621810913086,0.10606568306684494,15.7312593460083,0.4830538332462311,0.00043413956882432103,0.0002806741977110505,0.8739472031593323,0.9074614644050598,0.11597159504890442,0.22914168238639832,0.17800989747047424,0.26971179246902466,0.05477836728096008,0.1007901057600975,0.029263000935316086,0.03343886509537697,0.20509962504729629,10.409468316007406,6624.77294921875,1787.96923828125
1BC052,1,200,39.32465062492413,0.11269217729568481,15.90655517578125,0.433253675699234,0.11286648362874985,15.899101257324219,0.43311214447021484,0.0004780398157890886,0.00030459463596343994,0.8886610865592957,0.9250020980834961,0.07295537739992142,0.21293440461158752,0.13183613121509552,0.2584214508533478,0.03763215243816376,0.05739155411720276,0.026698270812630653,0.030628841370344162,0.20511553902179003,10.40356452204287,6623.650390625,1788.01953125
MEAN,1,200,39.32465062492413,0.1036805659532547,16.246809005737305,0.48685452342033386,0.10348031669855118,16.25908883412679,0.48774322867393494,0.0004454919059450428,0.00029233475409758586,0.8675890962282816,0.897384246190389,0.07027288029591243,0.1873748948176702,0.1310778111219406,0.22426321109135947,0.043660404781500496,0.07559152692556381,0.0255660576124986,0.03042976309855779,0.20499915008743605,10.403948404671004,6624.716959635417,1788.1316731770833
