epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,train_refinement_abs_delta,train_refinement_max_abs_delta,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_rareclv2_patchnce_loss,train_rareclv2_weighted_patchnce_loss,train_rareclv2_effective_lambda,train_rareclv2_curriculum_stage,train_rareclv2_effective_hard_ratio,train_rareclv2_patchnce_active,train_rareclv2_hard_region_fraction,train_rareclv2_sampled_hard_fraction,train_rareclv2_positive_similarity
82,0.00000956,0.397112,0.108563,15.8637,0.493980,40,0,0.73167443,131072.0,0.08621368,0.10009766,0.196745,0.116956,15.3428,0.451421,0.129060,14.9571,0.422699,0.07574783,0.79196028,0.10856315,0.11695591,0.41429439,0.45911238,0.03560588,0.03881073,0.00588514,0.00559413,0.04885341,0.05263016,0.12428832,0.13773372,0.00534088,0.00582161,0.00058851,0.00055941,0.17907113,4.36082433,0.21804122,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24306641,0.71965472
83,0.00000871,0.394288,0.106348,15.7968,0.498950,40,0,0.74663655,131072.0,0.08682098,0.10009766,0.195178,0.116268,15.4381,0.454189,0.128262,15.0543,0.425835,0.07629749,0.78524478,0.10634791,0.11626824,0.40577906,0.45484754,0.03597219,0.03909996,0.00478435,0.00537793,0.04785656,0.05232071,0.12173372,0.13645427,0.00539583,0.00586499,0.00047844,0.00053779,0.17546454,4.37646545,0.21882328,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24794922,0.72355299
84,0.00000789,0.401740,0.110080,15.6312,0.489548,40,0,0.72243245,131072.0,0.08543243,0.10009766,0.196127,0.116410,15.3835,0.451918,0.128850,14.9640,0.422229,0.07599417,0.79594729,0.11007975,0.11640966,0.42123532,0.45791418,0.03577103,0.03889669,0.00641316,0.00534223,0.04953589,0.05238435,0.12637060,0.13737426,0.00536566,0.00583450,0.00064132,0.00053422,0.18191346,4.39653101,0.21982655,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24599609,0.71944541
85,0.00000712,0.394401,0.105990,15.8478,0.503527,40,0,0.79618345,131072.0,0.08573303,0.10009766,0.195834,0.116212,15.4496,0.452164,0.128372,15.0481,0.422882,0.07624887,0.78704309,0.10599048,0.11621214,0.40656947,0.45721766,0.03467198,0.03895007,0.00486263,0.00531130,0.04769571,0.05229546,0.12197085,0.13716530,0.00520080,0.00584251,0.00048626,0.00053113,0.17535362,4.38095425,0.21904772,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24169922,0.72367170
86,0.00000640,0.395156,0.109448,15.7374,0.506569,40,0,0.76851527,131072.0,0.08564758,0.10009766,0.195265,0.115575,15.4577,0.453284,0.127722,15.0571,0.424090,0.07595234,0.78667774,0.10944754,0.11557530,0.40508066,0.45634193,0.03525366,0.03885777,0.00566123,0.00524870,0.04925139,0.05200888,0.12152420,0.13690258,0.00528805,0.00582867,0.00056612,0.00052487,0.17662977,4.37052996,0.21852650,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24261068,0.72148614
87,0.00000571,0.406165,0.115153,15.3781,0.491091,40,0,0.73543828,131072.0,0.08599243,0.10009766,0.195096,0.115594,15.4549,0.453732,0.127704,15.0553,0.424607,0.07578330,0.78717115,0.11515251,0.11559368,0.42332549,0.45573053,0.03519493,0.03883997,0.00587882,0.00533503,0.05181863,0.05201715,0.12699765,0.13671916,0.00527924,0.00582600,0.00058788,0.00053350,0.18468340,4.42963905,0.22148195,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24726562,0.71546286
88,0.00000507,0.386117,0.102043,16.0971,0.514858,40,0,0.78498374,131072.0,0.08515015,0.10009766,0.194675,0.115462,15.4474,0.454940,0.127661,15.0438,0.425780,0.07558127,0.78788137,0.10204327,0.11546243,0.39484632,0.45452593,0.03505876,0.03883339,0.00537533,0.00533830,0.04591947,0.05195809,0.11845390,0.13635778,0.00525881,0.00582501,0.00053753,0.00053383,0.17016972,4.31894571,0.21594729,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24166667,0.72707172
89,0.00000448,0.403183,0.113985,15.4505,0.489415,40,0,0.73656955,131072.0,0.08642273,0.10009766,0.194259,0.115390,15.4723,0.455777,0.127509,15.0708,0.426801,0.07589809,0.78810541,0.11398532,0.11538955,0.41964371,0.45322765,0.03636726,0.03895790,0.00583079,0.00521777,0.05129339,0.05192529,0.12589312,0.13596830,0.00545509,0.00584369,0.00058308,0.00052178,0.18322468,4.39917364,0.21995869,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24947917,0.71886198
90,0.00000393,0.402815,0.112960,15.6079,0.477824,40,0,0.72852920,131072.0,0.08716278,0.10009766,0.194513,0.115438,15.4759,0.455115,0.127467,15.0793,0.426214,0.07590806,0.78770112,0.11296020,0.11543791,0.42289510,0.45402095,0.03832538,0.03893439,0.00531901,0.00519326,0.05083209,0.05194706,0.12686854,0.13620629,0.00574881,0.00584016,0.00053190,0.00051933,0.18398133,4.37668089,0.21883405,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24941406,0.71527057
91,0.00000342,0.402321,0.109309,15.6499,0.486975,40,0,0.74662647,131072.0,0.08618317,0.10009766,0.194754,0.115797,15.4353,0.454861,0.127918,15.0364,0.425988,0.07583167,0.78938995,0.10930921,0.11579710,0.42176396,0.45427764,0.03643226,0.03891560,0.00597580,0.00525111,0.04918914,0.05210869,0.12652919,0.13628330,0.00546484,0.00583734,0.00059758,0.00052511,0.18178076,4.41080226,0.22054012,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24248047,0.71896431
92,0.00000297,0.394787,0.108719,15.7379,0.500185,40,0,0.74885842,131072.0,0.08729553,0.10009766,0.194604,0.115533,15.4539,0.454976,0.127563,15.0587,0.426236,0.07583879,0.78772183,0.10871863,0.11553325,0.40666919,0.45416702,0.03626163,0.03889445,0.00638823,0.00529698,0.04892338,0.05198996,0.12200076,0.13625011,0.00543924,0.00583417,0.00063882,0.00052970,0.17700221,4.35569680,0.21778484,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24863281,0.71930524
93,0.00000256,0.400257,0.109329,15.5993,0.492537,40,0,0.70351102,131072.0,0.08575592,0.10009766,0.194890,0.115771,15.4309,0.454700,0.127877,15.0332,0.425844,0.07584074,0.78910241,0.10932939,0.11577122,0.41883345,0.45476080,0.03556592,0.03888938,0.00593957,0.00531149,0.04919823,0.05209705,0.12565004,0.13642824,0.00533489,0.00583341,0.00059396,0.00053115,0.18077711,4.38959473,0.21947974,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24599609,0.71941137
94,0.00000219,0.397194,0.108555,15.7465,0.495609,40,0,0.76128961,131072.0,0.08727875,0.10009766,0.194531,0.115666,15.4309,0.455703,0.127746,15.0378,0.427015,0.07565647,0.78846563,0.10855484,0.11566618,0.41132873,0.45372106,0.03577474,0.03885280,0.00588475,0.00537130,0.04884967,0.05204978,0.12339862,0.13611632,0.00536621,0.00582792,0.00058848,0.00053713,0.17820298,4.37981487,0.21899075,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24397786,0.71910357
95,0.00000188,0.392185,0.106750,15.8292,0.496793,40,0,0.72278436,131072.0,0.08549652,0.10009766,0.194758,0.115668,15.4275,0.455161,0.127818,15.0284,0.426276,0.07570495,0.78959182,0.10675026,0.11566803,0.41052912,0.45450509,0.03622094,0.03883660,0.00520463,0.00530702,0.04803762,0.05205061,0.12315874,0.13635153,0.00543314,0.00582549,0.00052046,0.00053070,0.17714996,4.30070561,0.21503528,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24169922,0.72384129
96,0.00000161,0.397731,0.108358,15.7763,0.492589,40,0,0.74769419,131072.0,0.08724976,0.10009766,0.194277,0.115645,15.4369,0.456453,0.127731,15.0447,0.427883,0.07561250,0.78742840,0.10835798,0.11564541,0.41196088,0.45290834,0.03761113,0.03885745,0.00482307,0.00535638,0.04876109,0.05204043,0.12358827,0.13587251,0.00564167,0.00582862,0.00048231,0.00053564,0.17847334,4.38514882,0.21925744,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24215495,0.71823886
97,0.00000139,0.391496,0.110185,15.8004,0.497597,40,0,0.77393055,131072.0,0.08609619,0.10009766,0.194260,0.115614,15.4393,0.456495,0.127687,15.0474,0.427898,0.07562805,0.78731246,0.11018545,0.11561382,0.40432023,0.45289662,0.03637802,0.03885679,0.00488175,0.00536214,0.04958345,0.05202622,0.12129607,0.13586899,0.00545670,0.00582852,0.00048818,0.00053621,0.17682440,4.29343961,0.21467198,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24391276,0.72606678
98,0.00000122,0.383768,0.102494,16.2801,0.514170,40,0,0.89898691,131072.0,0.08603973,0.10009766,0.194571,0.115681,15.4397,0.455627,0.127749,15.0483,0.426937,0.07581704,0.78663456,0.10249425,0.11568085,0.38907506,0.45381511,0.03540170,0.03889007,0.00516035,0.00536338,0.04612241,0.05205638,0.11672252,0.13614454,0.00531026,0.00583351,0.00051604,0.00053634,0.16867122,4.30193825,0.21509691,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24134115,0.72650678
99,0.00000110,0.391352,0.109836,15.8212,0.508151,40,0,0.71987647,131072.0,0.08664398,0.10009766,0.194646,0.115729,15.4324,0.455582,0.127811,15.0396,0.426876,0.07572185,0.78768200,0.10983553,0.11572889,0.40335182,0.45400388,0.03465300,0.03885791,0.00535197,0.00537651,0.04942599,0.05207800,0.12100555,0.13620117,0.00519795,0.00582869,0.00053520,0.00053765,0.17616468,4.30374193,0.21518710,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24101562,0.72391115
100,0.00000102,0.393408,0.107784,15.7387,0.501548,40,0,0.75573335,262144.0,0.08721313,0.10009766,0.194614,0.115764,15.4281,0.455688,0.127874,15.0346,0.426949,0.07569005,0.78786066,0.10778393,0.11576363,0.40343028,0.45384531,0.03647330,0.03885714,0.00591416,0.00538032,0.04850277,0.05209363,0.12102909,0.13615360,0.00547100,0.00582857,0.00059142,0.00053803,0.17559427,4.35627000,0.21781350,0.05000000,2.00000000,0.20000000,1.00000000,0.20000694,0.24293620,0.72156763
