case_id,moment_forward_count,mc_forward_count,moment_calibration_scale,moment_mae,moment_psnr,moment_ssim,mc_mean_mae,mc_mean_psnr,mc_mean_ssim,unc_variance_rmsd_brain,unc_variance_mae_brain,unc_pearson_moment_vs_mc,unc_spearman_moment_vs_mc,moment_error_pearson,moment_error_spearman,mc_error_pearson,mc_error_spearman,moment_top10_error_overlap,mc_top10_error_overlap,moment_raw_variance_error_mae,moment_calibrated_variance_error_mae,moment_inference_seconds,mc_inference_seconds,moment_peak_memory_mb,mc_peak_memory_mb
1BA005,1,200,27.84811661569032,0.09161613881587982,17.36822509765625,0.5634905099868774,0.09197970479726791,17.345062255859375,0.5590021014213562,0.00046565697994083166,0.00032167331664822996,0.8381264209747314,0.8956013917922974,0.18198499083518982,0.24138158559799194,0.1591065526008606,0.224331334233284,0.13367412984371185,0.09563001990318298,0.01955660991370678,0.02505210041999817,0.1958928839303553,9.792512843851,6625.61376953125,1788.41455078125
1BB030,1,200,27.84811661569032,0.11365518718957901,15.563920974731445,0.5182989835739136,0.11336130648851395,15.596723556518555,0.524446964263916,0.0005083662108518183,0.00031546541140414774,0.8685515522956848,0.9322335720062256,0.19854450225830078,0.2575913965702057,0.21517489850521088,0.28868627548217773,0.12247151136398315,0.12216775119304657,0.02991900034248829,0.031888287514448166,0.19621964590623975,9.810269159264863,6624.67431640625,1788.80419921875
1BC052,1,200,27.84811661569032,0.11939328908920288,15.384222030639648,0.4793236255645752,0.11919425427913666,15.424072265625,0.48537710309028625,0.0005125580355525017,0.0003193653537891805,0.8993186354637146,0.9486241936683655,0.3178935647010803,0.45335423946380615,0.30374693870544434,0.45625001192092896,0.08851505815982819,0.07361426949501038,0.029913725331425667,0.029761089012026787,0.19614918809384108,9.811688856221735,6623.52783203125,1788.400390625
MEAN,1,200,27.84811661569032,0.10822153836488724,16.10545603434245,0.5203710397084554,0.10817842185497284,16.121952692667644,0.5229420562585195,0.0004955270754483839,0.00031883469394718605,0.8686655362447103,0.9254863858222961,0.23280768593152365,0.3174424072106679,0.22600946327050528,0.32308920721213025,0.1148868997891744,0.09713734686374664,0.026463111862540245,0.02890049231549104,0.19608723931014538,9.8048236197792,6624.605305989583,1788.5397135416667
