case_id,moment_forward_count,mc_forward_count,moment_calibration_scale,moment_mae,moment_psnr,moment_ssim,mc_mean_mae,mc_mean_psnr,mc_mean_ssim,unc_variance_rmsd_brain,unc_variance_mae_brain,unc_pearson_moment_vs_mc,unc_spearman_moment_vs_mc,moment_error_pearson,moment_error_spearman,mc_error_pearson,mc_error_spearman,moment_top10_error_overlap,mc_top10_error_overlap,moment_raw_variance_error_mae,moment_calibrated_variance_error_mae,moment_inference_seconds,mc_inference_seconds,moment_peak_memory_mb,mc_peak_memory_mb
1BA005,1,200,36.53161647511626,0.09381652623414993,16.99352264404297,0.5583060383796692,0.09382719546556473,17.001724243164062,0.5558529496192932,0.00046285195276141167,0.0003157926257699728,0.8428596258163452,0.9112536311149597,0.12907415628433228,0.23619765043258667,0.09728673845529556,0.21346111595630646,0.08823730796575546,0.07932296395301819,0.01976240985095501,0.026087500154972076,8.56254970000009,364.00171730000875,6626.51904296875,1787.79833984375
1BB030,1,200,36.53161647511626,0.11208038777112961,15.452078819274902,0.5110694766044617,0.1111762598156929,15.508054733276367,0.5188389420509338,0.0004679127596318722,0.0002936260716523975,0.8713008761405945,0.9305043816566467,0.21733105182647705,0.29867982864379883,0.20274633169174194,0.3146997094154358,0.11738268285989761,0.1191595271229744,0.030857447534799576,0.033707521855831146,8.69629759999225,363.87243770001805,6628.2998046875,1789.666015625
1BC052,1,200,36.53161647511626,0.11966261267662048,15.33001708984375,0.48157840967178345,0.11933960765600204,15.381742477416992,0.4877755343914032,0.0005202049505896866,0.0003204678068868816,0.8888717293739319,0.945539116859436,0.31453144550323486,0.4450726807117462,0.2718239724636078,0.4349461793899536,0.08766322582960129,0.09394471347332001,0.03039674647152424,0.030698541551828384,8.629127299995162,363.5960627000022,6627.13720703125,1788.41650390625
MEAN,1,200,36.53161647511626,0.1085198422273,15.925206184387207,0.5169846415519714,0.10811435431241989,15.96384048461914,0.5208224753538767,0.0004836565543276568,0.00030996216810308397,0.8676774104436239,0.9290990432103475,0.22031221787134805,0.32665005326271057,0.19061901420354843,0.3210356682538986,0.09776107221841812,0.09747573484977086,0.02700553461909294,0.03016452118754387,8.6293248666625,363.8234059000097,6627.318684895833,1788.626953125
