epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_medrecl_loss,train_medrecl_weighted_loss,train_medrecl_weight,train_medrecl_structure_weight,train_medrecl_appearance_weight,train_medrecl_structure_gradient_scale,train_medrecl_appearance_gradient_scale,train_medrecl_structure_gradient_ratio,train_medrecl_appearance_gradient_ratio,train_medrecl_appearance_amplitude_loss,train_medrecl_appearance_contextual_loss,train_medrecl_appearance_stat_loss,train_medrecl_soft_positive_similarity,train_medrecl_false_negative_ratio,train_medrecl_invariance_loss
11,0.00009758,0.294052,0.189241,12.7811,0.250877,40,0,0.29506026,65536.0,0.274188,0.167849,12.9362,0.303898,0.175536,12.7905,0.323145,0.08611423,0.83971271,0.18924142,0.16784910,0.67278461,0.64001619,0.04440852,0.04248763,0.00396961,0.00278312,0.08515864,0.07553209,0.20183539,0.19200487,0.00666128,0.00637314,0.00039696,0.00027831,0.29405226,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
12,0.00009707,0.281171,0.169502,13.4532,0.262164,40,0,0.30127745,65536.0,0.272786,0.164189,13.1078,0.303724,0.170926,12.9886,0.325642,0.08552393,0.83750823,0.16950243,0.16418891,0.65960793,0.64092545,0.04380932,0.04233801,0.00441188,0.00273059,0.07627609,0.07388501,0.19788239,0.19227764,0.00657140,0.00635070,0.00044119,0.00027306,0.28117106,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
13,0.00009652,0.296619,0.188182,12.8766,0.241573,40,0,0.30505892,65536.0,0.268889,0.162068,13.1333,0.316209,0.170062,13.0143,0.330640,0.08763799,0.82337941,0.18818248,0.16206836,0.68328751,0.63077035,0.04395238,0.04282428,0.00357716,0.00303423,0.08468212,0.07293076,0.20498626,0.18923111,0.00659286,0.00642364,0.00035772,0.00030342,0.29661895,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
14,0.00009593,0.287931,0.181158,13.2331,0.257667,40,0,0.33758228,65536.0,0.265849,0.161244,13.1369,0.324790,0.170083,12.9754,0.337232,0.08616285,0.83027437,0.18115826,0.16124413,0.66543530,0.62217673,0.04275818,0.04229847,0.00365702,0.00290911,0.08152122,0.07255986,0.19963060,0.18665303,0.00641373,0.00634477,0.00036570,0.00029091,0.28793124,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
15,0.00009529,0.283970,0.172867,13.3795,0.256577,40,0,0.35866350,65536.0,0.266685,0.160932,13.1111,0.321883,0.169847,12.9363,0.336316,0.08508664,0.84304217,0.17286680,0.16093189,0.66406707,0.62526040,0.04398291,0.04208748,0.00362697,0.00374846,0.07779006,0.07241935,0.19922013,0.18757812,0.00659744,0.00631312,0.00036270,0.00037485,0.28397033,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
16,0.00009460,0.285528,0.176571,13.2144,0.260476,40,0,0.29713835,65536.0,0.262477,0.158878,13.1760,0.332915,0.168035,13.0392,0.339101,0.08660630,0.82911627,0.17657104,0.15887821,0.66400075,0.61428052,0.04307578,0.04246748,0.00409368,0.00327135,0.07945697,0.07149519,0.19920023,0.18428416,0.00646137,0.00637012,0.00040937,0.00032714,0.28552794,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
17,0.00009388,0.265452,0.155297,13.8785,0.285074,40,0,0.33546316,65536.0,0.258350,0.155736,13.4013,0.339510,0.164564,13.2586,0.345954,0.08463456,0.82172277,0.15529705,0.15573564,0.62881626,0.60564733,0.04356797,0.04190336,0.00388099,0.00289536,0.06988367,0.07008103,0.18864488,0.18169421,0.00653520,0.00628550,0.00038810,0.00028954,0.26545185,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
18,0.00009311,0.275311,0.162710,13.6408,0.268794,40,0,0.37166243,65536.0,0.260733,0.155233,13.3187,0.334275,0.164487,13.1618,0.345096,0.08471553,0.83525279,0.16271004,0.15523252,0.65015412,0.61381023,0.04409523,0.04193751,0.00431041,0.00445140,0.07321952,0.06985463,0.19504624,0.18414308,0.00661428,0.00629063,0.00043104,0.00044514,0.27531109,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
19,0.00009229,0.265329,0.157077,13.8204,0.289239,40,0,0.32335093,65536.0,0.253660,0.153228,13.3964,0.348966,0.162393,13.2481,0.355798,0.08358568,0.83222546,0.15707713,0.15322757,0.62601032,0.59360292,0.04281263,0.04158420,0.00418925,0.00388603,0.07068470,0.06895240,0.18780310,0.17808088,0.00642189,0.00623763,0.00041892,0.00038860,0.26532863,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
20,0.00009144,0.275025,0.165224,13.5352,0.271311,40,0,0.34227908,65536.0,0.251044,0.150583,13.6260,0.351961,0.159966,13.4698,0.353729,0.08487958,0.81586812,0.16522409,0.15058301,0.64562632,0.58886614,0.04351427,0.04188576,0.00458697,0.00339211,0.07435084,0.06776235,0.19368790,0.17665985,0.00652714,0.00628286,0.00045870,0.00033921,0.27502458,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
21,0.00009055,0.274670,0.162759,13.7240,0.272160,40,0,0.39697101,65536.0,0.245987,0.147890,13.7191,0.362050,0.156826,13.6025,0.363457,0.08444986,0.81486943,0.16275906,0.14789035,0.64803068,0.57612371,0.04313110,0.04178055,0.00490412,0.00331717,0.07324157,0.06655066,0.19440921,0.17283712,0.00646966,0.00626708,0.00049041,0.00033172,0.27461086,1.1182183099e+01,0.00005934,0.00000533,0.00000533,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03139117,0.00000000,1.30394969
22,0.00008961,0.262189,0.159187,13.8290,0.303101,40,0,0.38017369,65536.0,0.247330,0.151451,13.5207,0.365052,0.160642,13.4169,0.365050,0.08209093,0.81969750,0.15918685,0.15145104,0.61079579,0.57539312,0.04294632,0.04113687,0.00486352,0.00388462,0.07163408,0.06815296,0.18323874,0.17261794,0.00644195,0.00617053,0.00048635,0.00038846,0.26180112,1.0654126811e+01,0.00038821,0.00003651,0.00003651,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06135320,0.00000000,1.07741424
