case_id,moment_forward_count,mc_forward_count,moment_calibration_scale,moment_mae,moment_psnr,moment_ssim,mc_mean_mae,mc_mean_psnr,mc_mean_ssim,unc_variance_rmsd_brain,unc_variance_mae_brain,unc_pearson_moment_vs_mc,unc_spearman_moment_vs_mc,moment_error_pearson,moment_error_spearman,mc_error_pearson,mc_error_spearman,moment_top10_error_overlap,mc_top10_error_overlap,moment_raw_variance_error_mae,moment_calibrated_variance_error_mae,moment_inference_seconds,mc_inference_seconds,moment_peak_memory_mb,mc_peak_memory_mb
1BA005,1,200,34.26392377941353,0.09131782501935959,17.230178833007812,0.5717357993125916,0.0909966453909874,17.28497314453125,0.5733312368392944,0.00041988404700532556,0.0002915994555223733,0.8169750571250916,0.8660725355148315,0.22994960844516754,0.30545106530189514,0.18710540235042572,0.26108887791633606,0.145525723695755,0.12380577623844147,0.01854514889419079,0.02472863905131817,1.2736223000028986,34.32362160000048,6624.76123046875,1788.865234375
1BB030,1,200,34.26392377941353,0.11234342306852341,15.530448913574219,0.5259199142456055,0.11047720164060593,15.613630294799805,0.5335503816604614,0.00040375199750997126,0.00025555797037668526,0.8501818776130676,0.9007735848426819,0.2399062067270279,0.315046489238739,0.22145117819309235,0.31482699513435364,0.13873419165611267,0.10613697022199631,0.030250616371631622,0.03239235654473305,1.376314300003287,34.336802500001795,6624.28515625,1790.1259765625
1BC052,1,200,34.26392377941353,0.11886363476514816,15.444225311279297,0.49055251479148865,0.11840472370386124,15.477238655090332,0.5001335740089417,0.00042010232573375106,0.0002629472000990063,0.8793470859527588,0.9188821911811829,0.3767116069793701,0.4888547658920288,0.3553166091442108,0.47653988003730774,0.13579818606376648,0.1107984185218811,0.029574811458587646,0.028597649186849594,1.3818159000002197,34.33633969999937,6624.693359375,1788.27978515625
MEAN,1,200,34.26392377941353,0.10750829428434372,16.06828435262044,0.5294027427832285,0.10662619024515152,16.12528069814046,0.5356717308362325,0.0004145794567496826,0.0002700348753326883,0.8488346735636393,0.8952427705128988,0.28218914071718854,0.36978410681088764,0.2546243965625763,0.35081858436266583,0.1400193671385447,0.11358038832743962,0.026123525574803352,0.02857288159430027,1.343917500002135,34.332254600000546,6624.579915364583,1789.09033203125
