epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency
16,0.00009460,0.272621,0.165281,13.7226,0.274912,40,0,0.36210120,65536.0,0.256166,0.155371,13.4655,0.331774,0.162079,13.4192,0.349812,0.08540921,0.82202529,0.16528091,0.15537088,0.63754556,0.59865173,0.04409119,0.04217711,0.00366858,0.00326850,0.07437641,0.06991689,0.19126367,0.17959552,0.00661368,0.00632657,0.00036686,0.00032685
17,0.00009388,0.258627,0.158498,14.0164,0.303926,40,0,0.40181291,65536.0,0.263831,0.158377,13.3800,0.324306,0.167427,13.2219,0.333822,0.08727959,0.82330053,0.15849791,0.15837665,0.60105796,0.61950591,0.04389108,0.04260813,0.00401618,0.00318488,0.07132406,0.07126949,0.18031739,0.18585178,0.00658366,0.00639122,0.00040162,0.00031849
18,0.00009311,0.272325,0.171804,13.4918,0.287066,40,0,0.39946781,65536.0,0.260958,0.156935,13.4475,0.331361,0.165806,13.2847,0.337570,0.08644896,0.81489301,0.17180377,0.15693453,0.62661343,0.61222909,0.04402401,0.04241484,0.00425884,0.00306083,0.07731170,0.07062054,0.18798403,0.18366873,0.00660360,0.00636223,0.00042588,0.00030608
19,0.00009229,0.281139,0.170357,13.5420,0.260957,40,0,0.36666576,65536.0,0.252263,0.150401,13.7215,0.343438,0.158464,13.5854,0.356154,0.08476415,0.81453755,0.17035677,0.15040059,0.65830436,0.59325915,0.04415618,0.04190157,0.00363795,0.00320077,0.07666054,0.06768026,0.19749132,0.17797775,0.00662343,0.00628524,0.00036379,0.00032008
20,0.00009144,0.276846,0.165392,13.7421,0.261933,40,0,0.31827699,65536.0,0.242552,0.148343,13.7902,0.360522,0.154741,13.7379,0.380304,0.08166009,0.81295871,0.16539172,0.14834304,0.65116772,0.56425600,0.04471440,0.04104927,0.00361855,0.00363732,0.07442627,0.06675437,0.19535032,0.16927680,0.00670716,0.00615739,0.00036186,0.00036373
21,0.00009055,0.257877,0.152051,14.2461,0.300640,40,0,0.38858503,65536.0,0.246961,0.147256,13.8142,0.353290,0.154882,13.7270,0.365930,0.08488381,0.81358194,0.15205118,0.14725615,0.60818255,0.58006208,0.04338141,0.04186417,0.00491541,0.00397597,0.06842303,0.06626527,0.18245477,0.17401863,0.00650721,0.00627963,0.00049154,0.00039760
22,0.00008961,0.268787,0.165408,13.7714,0.289138,40,0,0.34964907,65536.0,0.241311,0.145757,13.9195,0.364919,0.153650,13.8237,0.375278,0.08419353,0.81111596,0.16540821,0.14575677,0.62435748,0.56376514,0.04336877,0.04177385,0.00541149,0.00325300,0.07443369,0.06559054,0.18730725,0.16912955,0.00650532,0.00626608,0.00054115,0.00032530
23,0.00008864,0.271171,0.162450,13.8625,0.276775,40,0,0.39640742,65536.0,0.243538,0.148867,13.7171,0.368596,0.157790,13.5869,0.372735,0.08402690,0.81359698,0.16244988,0.14886712,0.63758200,0.56634621,0.04279326,0.04145069,0.00374667,0.00426544,0.07310245,0.06699020,0.19127461,0.16990387,0.00641899,0.00621760,0.00037467,0.00042654
24,0.00008763,0.235099,0.142356,14.5539,0.353219,40,0,0.44278063,65536.0,0.240300,0.143242,14.0559,0.366602,0.151436,13.9675,0.372290,0.08468679,0.81524211,0.14235555,0.14324178,0.54714938,0.56406993,0.04194350,0.04171674,0.00602426,0.00362748,0.06405999,0.06445880,0.16414482,0.16922099,0.00629152,0.00625751,0.00060243,0.00036275
25,0.00008658,0.253926,0.151309,14.2929,0.311006,40,0,0.40547789,65536.0,0.234019,0.143760,13.9966,0.385034,0.152521,13.8753,0.389758,0.08250465,0.80134487,0.15130889,0.14376033,0.59687324,0.54244556,0.04232337,0.04103584,0.00426419,0.00437302,0.06808900,0.06469215,0.17906198,0.16273367,0.00634851,0.00615538,0.00042642,0.00043730
