case_id,moment_forward_count,mc_forward_count,moment_calibration_scale,moment_mae,moment_psnr,moment_ssim,mc_mean_mae,mc_mean_psnr,mc_mean_ssim,unc_variance_rmsd_brain,unc_variance_mae_brain,unc_pearson_moment_vs_mc,unc_spearman_moment_vs_mc,moment_error_pearson,moment_error_spearman,mc_error_pearson,mc_error_spearman,moment_top10_error_overlap,mc_top10_error_overlap,moment_raw_variance_error_mae,moment_calibrated_variance_error_mae,moment_inference_seconds,mc_inference_seconds,moment_peak_memory_mb,mc_peak_memory_mb
1BA005,1,200,32.68609474870575,0.09486348181962967,16.959003448486328,0.5667539834976196,0.0943085253238678,17.02558135986328,0.565802812576294,0.00048814303590916097,0.00031039610621519387,0.7824475765228271,0.8646682500839233,0.23073358833789825,0.2872227132320404,0.18683606386184692,0.271885484457016,0.149529829621315,0.13178320229053497,0.020321227610111237,0.025190474465489388,0.19608560809865594,9.797856776975095,6626.19873046875,1789.2578125
1BB030,1,200,32.68609474870575,0.11658849567174911,15.298881530761719,0.5203797817230225,0.11469044536352158,15.3898286819458,0.5293896794319153,0.00040156079921871424,0.00024923819000832736,0.8630775213241577,0.9074252843856812,0.2599782943725586,0.3188166916370392,0.25970399379730225,0.3324297368526459,0.17971916496753693,0.16422732174396515,0.03192702680826187,0.032577693462371826,0.19644156889989972,9.81086641876027,6625.86083984375,1787.8388671875
1BC052,1,200,32.68609474870575,0.11612162739038467,15.720945358276367,0.48625433444976807,0.11597257852554321,15.73305606842041,0.4976326525211334,0.00042701413622125983,0.00025786974583752453,0.8733446002006531,0.9179060459136963,0.34111884236335754,0.4712945520877838,0.3616716265678406,0.48784980177879333,0.1161428913474083,0.10795581340789795,0.02769419550895691,0.027399709448218346,0.19654441019520164,9.816777852829546,6625.1142578125,1788.6376953125
MEAN,1,200,32.68609474870575,0.10919120162725449,15.99294344584147,0.5244626998901367,0.1083238497376442,16.049488703409832,0.5309417148431143,0.0004389059904497117,0.0002725013473536819,0.839623232682546,0.8966665267944336,0.2772769083579381,0.35911131898562115,0.2694038947423299,0.36405500769615173,0.14846396197875342,0.1346554458141327,0.026647483309110005,0.028389292458693188,0.19635719573125243,9.808500349521637,6625.724609375,1788.578125
