epoch,lr,train_loss,train_mae,train_psnr,train_ssim,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_total,val_rec_total
1,9.997557473810373e-05,0.3389079891145229,0.24486277848482133,10.996435272693635,0.19177878675982357,0.30074038729071617,0.1935738455504179,12.225411653518677,0.25690128467977047,0.2000514529645443,12.108015894889832,0.2785147614777088,0.08978874515742064,0.8327128514647484,0.24486277848482133,0.1935738455504179,0.7335463345050812,0.6892030239105225,0.05587326837703586,0.04410567181184888,0.0027484568890940864,0.0025539357447996736,0.11018824689090252,0.08710822742432356,0.22006390914320945,0.20676091499626637,0.008380990626756101,0.006615850958041847,0.00027484569100124647,0.000255393575571361,0.3389079891145229,0.30074038729071617
2,9.990232305719946e-05,0.2980610989034176,0.19344740584492684,12.611339426040649,0.24563964027911425,0.2890522852540016,0.17136529088020325,13.200263977050781,0.26126073114573956,0.17390909977257252,13.154829740524292,0.28586050495505333,0.09088290855288506,0.825779527425766,0.19344740584492684,0.17136529088020325,0.6783921018242836,0.6833207011222839,0.04728284040465951,0.04437621030956507,0.003996996651403606,0.002852607241948135,0.08705133004114032,0.07711437810212374,0.20351763889193536,0.20499621890485287,0.007092426333110779,0.006656431884039193,0.00039969966828721224,0.0002852607285603881,0.2980610989034176,0.2890522852540016
3,9.978031724785248e-05,0.30354672744870187,0.19348190873861312,12.761405873298646,0.2315260254777968,0.2800818979740143,0.16372879594564438,13.339674353599548,0.2802659962326288,0.16914141364395618,13.23570454120636,0.3022298440337181,0.08929231390357018,0.8274860829114914,0.19348190873861312,0.16372879594564438,0.6968790292739868,0.6650106832385063,0.046622720547020435,0.04377302248030901,0.004227432426705491,0.0033477713586762547,0.08706685593351722,0.0736779561266303,0.20906371884047986,0.1995032113045454,0.00699340837309137,0.006565953604876995,0.0004227432508287166,0.00033477713986940216,0.30354672744870187,0.2800818979740143
4,9.960967771506668e-05,0.28735369741916655,0.17131709214299917,13.564107847213744,0.24648026172071696,0.2709573842585087,0.15484846383333206,13.583227038383484,0.29749074950814247,0.16099990531802177,13.51914370059967,0.3142647221684456,0.09014852438122034,0.8234771341085434,0.17131709214299917,0.15484846383333206,0.6770521968603134,0.6476685851812363,0.044855669420212504,0.04383771354332566,0.004169869313773234,0.003993415666627698,0.07709268955513834,0.06968180742114782,0.20311566703021527,0.19430058263242245,0.006728350685443729,0.006575657287612557,0.0004169869419456518,0.0003993415739387274,0.28735369741916655,0.2709573842585087
5,9.939057285945934e-05,0.293600769340992,0.17593514621257783,13.381188702583312,0.23101173872128128,0.26492967642843723,0.15035339631140232,13.75934088230133,0.31000034138560295,0.1584753580391407,13.62944209575653,0.31715038418769836,0.0906803710386157,0.8203897476196289,0.17593514621257783,0.15035339631140232,0.6901479750871659,0.6342355981469154,0.04657388422638178,0.043872416485100985,0.003994728223915445,0.004190987820038572,0.0791708141565323,0.06765902694314718,0.20704439990222454,0.19027068838477135,0.0069860828923992814,0.006580862740520388,0.0003994728282123106,0.0004190987910988042,0.293600769340992,0.26492967642843723
6,9.912321891107012e-05,0.2831025838851929,0.16887285728007556,13.445150113105774,0.25485611502081157,0.2608688995242119,0.1499902419745922,13.718337655067444,0.3242526464164257,0.1591403614729643,13.522904396057129,0.3288213685154915,0.08832063432782888,0.832758828997612,0.16887285728007556,0.1499902419745922,0.6657536208629609,0.6213646754622459,0.04542658478021622,0.04323831060901284,0.005697176844478236,0.0047813644632697105,0.07599278334528208,0.0674956077709794,0.19972609393298627,0.18640941195189953,0.006813988019712269,0.00648574682418257,0.0005697176972262241,0.0004781364514201414,0.2831025838851929,0.2608688995242119
7,9.880787971596802e-05,0.2722581695765257,0.15675746388733386,13.901820135116576,0.271552249789238,0.2574809230864048,0.1490628756582737,13.681602835655212,0.33534861356019974,0.1586781144142151,13.504210829734802,0.3310134708881378,0.08800114970654249,0.8312391936779022,0.15675746388733386,0.1490628756582737,0.6481428012251854,0.6113390773534775,0.044691088423132894,0.04314376413822174,0.00570803027076181,0.005293343972880393,0.07054085684940219,0.06707829190418124,0.19444284662604333,0.18340172991156578,0.006703663535881787,0.006471564818639308,0.000570803039772727,0.0005293344111123588,0.2722581695765257,0.2574809230864048
8,9.844486647586726e-05,0.272320868074894,0.15639622062444686,13.887368488311768,0.2692633481696248,0.25291874818503857,0.14232000149786472,14.005598783493042,0.33868275210261345,0.15235388651490211,13.805150270462036,0.3266909308731556,0.0887165879830718,0.8257882297039032,0.15639622062444686,0.14232000149786472,0.648703145980835,0.6058300286531448,0.04521281560882926,0.04326638067141175,0.005496985614809091,0.006357782694976777,0.07037829738110304,0.064043999183923,0.19461095109581947,0.18174901232123375,0.006781922618392855,0.006489957275334746,0.0005496985651916475,0.0006357782731356565,0.272320868074894,0.25291874818503857
9,9.80345374410087e-05,0.2812293354421854,0.15725995860993863,14.018843269348144,0.24719470934942364,0.25392523035407066,0.14330151304602623,13.982360124588013,0.33569691702723503,0.1540777124464512,13.777170896530151,0.3085734434425831,0.08899583201855421,0.8214022368192673,0.15725995860993863,0.14330151304602623,0.6779831513762474,0.6082283183932304,0.04396742256358266,0.04301984654739499,0.004722900860724621,0.005180695268791169,0.07076697954908014,0.0644856789149344,0.2033949539065361,0.18246850185096264,0.006595113663934171,0.006452977191656828,0.0004722900987871981,0.0005180695407034364,0.2812293354421854,0.25392523035407066
10,9.757729755661012e-05,0.262750781327486,0.14681481197476387,14.245787096023559,0.28380811139941214,0.2516091912984848,0.14541565254330635,13.80465304851532,0.3465433120727539,0.15648910216987133,13.597813963890076,0.3125464580953121,0.08752505108714104,0.8347835093736649,0.14681481197476387,0.14541565254330635,0.6322010487318039,0.596980981528759,0.04325497420504689,0.04273440642282367,0.005355486730695702,0.00667682831408456,0.06606666389852762,0.06543704262003303,0.18966032192111015,0.17909430153667927,0.006488246400840581,0.006410161207895726,0.0005355486824555556,0.0006676828415947966,0.262750781327486,0.2516091912984848
